,Date,Value,DValue,Value_shift_3d,Value_shift_4d,Value_shift_5d,Value_shift_10d,DValue_shift_3d,DValue_shift_4d,DValue_shift_5d,DValue_shift_3d_average_2d,DValue_shift_3d_average_3d,DValue_shift_3d_average_4d,Value_shift_3d_average_2d,Value_shift_3d_average_3d,Value_shift_3d_average_4d,CloudCover,New_snow_blanket,Percipitation,Snow_blanket,Sun_duration,TemperatureAvg,TemperatureMax,TemperatureMin,CloudCover_average_4d,Percipitation_average_3d,Percipitation_average_6d,Percipitation_average_10d,Percipitation_average_25d,CloudCover_average_18d,CloudCover_average_9d,New_snow_blanket_average_60d,Sun_duration_average_10d,Sun_duration_average_3d,TemperatureAvg_average_3d,Sun_duration_shift_2d,CloudCover_shift_2d,Snow_blanket_shift_50d,Snow_blanket_shift_30d,Percipitation_shift_2d
0,2010-03-12,276.96,-0.03000000000002956,277.06,277.09,277.12,277.08,-0.029999999999972715,-0.03000000000002956,-0.01999999999998181,-0.030000000000001137,-0.02666666666666136,-0.022499999999993747,277.07500000000056,277.08999999999986,277.10249999999985,43.0,0.0,0.0,8.0,8.4,2.1,8.0,-2.1,83.25,3.5666666666666633,1.7833333333333352,1.450000000000001,4.904,72.27777777777777,68.44444444444444,1.4,3.5499999999999994,2.900000000000001,-0.10000000000000386,0.0,100.0,21.0,21.0,0.30000000000000004
1,2010-03-13,276.93,-0.029999999999972715,277.02,277.06,277.09,277.12,-0.040000000000020464,-0.029999999999972715,-0.03000000000002956,-0.03499999999999659,-0.03333333333334091,-0.030000000000001137,277.04000000000053,277.0566666666665,277.0724999999999,50.0,0.0,0.0,3.0,6.1,2.9,9.6,-3.6,71.5,3.4666666666666632,1.7833333333333352,1.430000000000001,4.904,70.77777777777777,62.888888888888886,1.3833333333333333,4.1499999999999995,4.9333333333333345,1.6666666666666625,0.30000000000000004,93.0,23.0,41.0,10.4
2,2010-03-14,276.9,-0.03000000000002956,276.99,277.02,277.06,277.15,-0.029999999999972715,-0.040000000000020464,-0.029999999999972715,-0.03499999999999659,-0.03333333333332197,-0.03249999999999886,277.00500000000056,277.02333333333314,277.03999999999985,23.0,0.0,0.0,0.0,10.0,5.4,13.0,-3.1,52.25,-3.552713678800501e-15,1.7833333333333352,1.200000000000001,4.864,67.61111111111111,58.77777777777778,1.35,5.1499999999999995,8.166666666666668,3.466666666666663,8.4,43.0,23.0,43.0,0.0
3,2010-03-15,276.87,-0.029999999999972715,276.96,276.99,277.02,277.15,-0.03000000000002956,-0.029999999999972715,-0.040000000000020464,-0.030000000000001137,-0.03333333333334091,-0.03249999999999886,276.9750000000006,276.98999999999984,277.0074999999999,43.0,0.0,0.0,0.0,4.7,4.2,12.1,-1.7000000000000002,39.75,-3.552713678800501e-15,1.7833333333333352,1.0800000000000012,4.795999999999999,67.22222222222223,61.0,1.35,5.359999999999999,6.9333333333333345,4.1666666666666625,6.1,50.0,23.0,41.0,0.0
4,2010-03-16,276.84,-0.03000000000002956,276.93,276.96,276.99,277.14,-0.029999999999972715,-0.03000000000002956,-0.029999999999972715,-0.030000000000001137,-0.029999999999991662,-0.03249999999999886,276.9450000000006,276.95999999999987,276.9749999999999,57.0,0.0,0.0,0.0,5.3,6.2,13.8,-1.6,43.25,-3.552713678800501e-15,1.7333333333333352,1.0700000000000012,4.772,64.83333333333333,61.44444444444444,1.35,5.249999999999999,6.666666666666669,5.266666666666663,10.0,23.0,22.0,36.0,0.0
5,2010-03-17,276.81,-0.029999999999972715,276.9,276.93,276.96,277.12,-0.03000000000002956,-0.029999999999972715,-0.03000000000002956,-0.030000000000001137,-0.030000000000010612,-0.030000000000001137,276.91500000000065,276.9299999999999,276.94499999999994,70.0,0.0,0.0,0.0,3.0,6.4,10.7,-0.5,48.25,-3.552713678800501e-15,1.7763568394002505e-15,1.0700000000000012,3.116,65.0,64.0,1.35,4.669999999999999,4.333333333333336,5.599999999999997,4.7,43.0,21.0,33.0,0.0
6,2010-03-18,276.78,-0.03000000000002956,276.87,276.9,276.93,277.09,-0.029999999999972715,-0.03000000000002956,-0.029999999999972715,-0.030000000000001137,-0.029999999999991662,-0.030000000000001137,276.8850000000007,276.8999999999999,276.9149999999999,47.0,0.0,0.0,0.0,5.2,9.0,15.3,1.6,54.25,-3.552713678800501e-15,1.7763568394002505e-15,1.0700000000000012,2.3200000000000003,62.22222222222222,58.44444444444444,1.35,4.35,4.500000000000003,7.199999999999997,5.3,57.0,21.0,32.0,0.0
7,2010-03-19,276.75,-0.029999999999972715,276.84,276.87,276.9,277.06,-0.03000000000002956,-0.029999999999972715,-0.03000000000002956,-0.030000000000001137,-0.030000000000010612,-0.030000000000001137,276.85500000000064,276.8699999999999,276.8849999999999,67.0,0.0,0.0,0.0,9.6,9.8,15.0,5.3,60.25,-3.552713678800501e-15,1.7763568394002505e-15,1.0700000000000012,1.9360000000000002,63.333333333333336,54.77777777777778,1.3166666666666667,5.26,5.933333333333336,8.399999999999997,3.0,70.0,20.0,30.0,0.0
8,2010-03-20,276.72,-0.029999999999972715,276.81,276.84,276.87,277.02,-0.029999999999972715,-0.03000000000002956,-0.029999999999972715,-0.030000000000001137,-0.029999999999991662,-0.030000000000001137,276.82500000000067,276.83999999999986,276.85499999999985,93.0,0.0,0.0,0.0,0.0,10.5,12.7,8.3,69.25,-3.552713678800501e-15,1.7763568394002505e-15,1.0400000000000011,1.8440000000000003,64.61111111111111,54.77777777777778,1.3166666666666667,5.26,4.933333333333336,9.766666666666664,5.2,47.0,20.0,25.0,0.0
9,2010-03-21,276.69,-0.03000000000002956,276.78,276.81,276.84,276.99,-0.03000000000002956,-0.029999999999972715,-0.03000000000002956,-0.030000000000001137,-0.030000000000010612,-0.030000000000001137,276.79500000000064,276.8099999999999,276.8249999999998,100.0,0.0,0.0,0.0,0.0,11.0,12.1,10.0,76.75,-3.552713678800501e-15,1.7763568394002505e-15,1.0658141036401502e-15,1.8320000000000005,64.77777777777777,61.111111111111114,1.3166666666666667,5.2299999999999995,3.200000000000003,10.43333333333333,9.6,67.0,28.0,20.0,0.0
