UNIT,LAND USE,CN_A_low,CN_A_high,CN A,CNv
VI-415,BC,43,75,59,0.5
TR-327,BC,43,75,49,0.81
VI-623,CDd,54,88,79,0.26
VI-331,CDd,54,88,57,0.91
VI-128,CDd,54,88,94,0
VI-634,CDd,54,88,81,0.21
TR-527,CDi,53,83,46,1
VI-292,CDi,53,83,72,0.37
VI-332,CDi,53,83,85,0
VI-285,CDi,53,83,74,0.3
VI-378,CDi,53,83,74,0.3
VI-287,CDi,53,83,74,0.3
VI-316,CDi,53,83,61,0.73
VI-461,CDi,53,83,79,0.13
VI-382,CDi,53,83,62,0.7
VI-288,CDi,53,83,82,0.03
TR-447,CDi,53,83,76,0.23
RD-226,CDi,53,83,52,1
VI-655,CDj,48,85,91,0
VI-310,CDk,56,92,78,0.39
TR-330,CDo,49,70,62,0.38
VI-315,CDo,49,70,56,0.67
TR-312,CDo,49,70,65,0.24
VI-320,CDo,49,70,70,0
RD-253,CDo,49,70,59,0.52
VI-308,CDo,49,70,57,0.62
VI-358,CDz,60,85,73,0.48
VI-329,CDz,60,85,61,0.96
VI-151,CU,59,88,83,0.17
VI-742,CU,59,88,50,1
VI-647,CU,59,88,69,0.66
TR-523,CU,59,88,84,0.14
VI-277,CU,59,88,70,0.62
RD-27,CU,59,88,81,0.24
VI-337,CU,59,88,86,0.07
VI-280,CU,59,88,71,0.59
VI-656,CU,59,88,63,0.86
VI-350,CU,59,88,86,0.07
VI-626,CU,59,88,74,0.48
VI-349,CU,59,88,71,0.59
RD-323,IK,39,65,50,0.58
VI-289,PC,63,95,89,0.19
VI-357,PC,63,95,87,0.25
RD-254,PC,63,95,92,0.09
TR-416,PC,63,95,73,0.69
TR-331,PC,63,95,74,0.66
VI-351,PC,63,95,96,0
VI-318,PC,63,95,86,0.28
RD-474,PC,63,95,86,0.28
TR-266,PC,63,95,94,0.03
VI-657,PC,63,95,79,0.5
MS-51,PC,63,95,92,0.09
RD-197,PC,63,95,96,0
TR-473,PC,63,95,97,0
