UNIT,LAND USE,SPATIAL ACT,AMOUNT OF CONSTRUCTED AREA,MIN GREEN AREA,BUILDING DESCRIPTION,AREA,CN A,CN B,CN C,CN D,CURRENT BUILDINGS PER ha,CURRENT RESIDENTS PER ha,CURRENT POPULATION DENSITY,RAIN STATION,OLS,L
RD-454,SSsv,OPN ID,30,Ø,High freestanding building in the green,2615,58,74,82,86,0,0,Without residents,Ljubljana Bežigrad,12.0000,0.012
TR-447,CDi,OPN ID,/,25,Peculiar building,4669,76,85,89,91,4.28,12.85,10 to 20,Ljubljana Bežigrad,1.0000,0.001
RD-420,SSse,OPN ID,30,"residential buildings Ø, non-residential buildings 25",Low freestanding building,117602,69,81,87,90,16.24,65.56,60 to 100,Ljubljana Bežigrad,1.0000,0.001
VI-337,CU,OPN ID,/,"residential buildings Ø, non-residential buildings 20",High freestanding building,996,86,91,93,94,0,0,Without residents,Ljubljana Bežigrad,20.0000,0.02
TR-200,ZPp,OPN ID,/,70,,527,31,58,71,78,0,0,Without residents,Ljubljana Bežigrad,5.0000,0.005
TR-464,PC,OPN ID,,,,5159,85,91,93,94,0,0,Without residents,Ljubljana Bežigrad,20.0000,0.02
VI-379,ZPp,OPN ID,/,70,,3200,54,72,81,85,0,0,Without residents,Ljubljana Bežigrad,2.0000,0.002
VI-331,CDd,OPN ID,/,/,High freestanding building,875,57,74,82,86,0,0,Without residents,Ljubljana Bežigrad,12.0000,0.012
VI-319,SSce,OPN ID,40,"residential buildings Ø, non-residential buildings 25",Low freestanding building,3763,63,77,84,88,10.63,74.41,60 to 100,Ljubljana Bežigrad,4.0000,0.004
TR-271,SB,OPN ID,/,/,High freestanding building,5100,72,83,88,90,5.88,329.4,Above 300,Ljubljana Bežigrad,11.0000,0.011
VI-310,CDk,OPN ID,/,25,Peculiar building,2345,78,85,90,92,0,0,Without residents,Ljubljana Bežigrad,16.0000,0.016
RD-320,SSsv,OPN ID,35,"residential buildings Ø, non-residential buildings 25",High freestanding building,1935,69,81,87,90,5.17,20.67,20 to 60,Ljubljana Bežigrad,1.0000,0.001
TR-449,ZDd,OPN ID,,,,12627,74,84,89,91,0,0,Without residents,Ljubljana Bežigrad,3.0000,0.003
TR-281,VC,OPN ID,,,,5163,99,99,99,99,0,0,Without residents,Ljubljana Bežigrad,13.0000,0.013
VI-254,ZPp,OPN ID,/,70,,581,79,87,91,92,0,0,Without residents,Ljubljana Bežigrad,1.0000,0.001
TR-259,SSce,OPN ID,50,Ø,Low building in a row,4589,73,83,88,91,43.58,130.74,100 to 300,Ljubljana Bežigrad,11.0000,0.011
VI-414,ZPp,OPN ID,/,70,,567,51,70,79,84,0,0,Without residents,Ljubljana Bežigrad,13.0000,0.013
RD-27,CU,OPPN,/,/,High freestanding building,5311,81,88,91,93,1.88,18.83,10 to 20,Ljubljana Bežigrad,13.0000,0.013
TR-224,SSce,OPN ID,50,Ø,Low building in a row,8013,68,80,86,89,33.7,112.32,100 to 300,Ljubljana Bežigrad,3.0000,0.003
VI-128,CDd,OPPN,50,20,High freestanding building,3176,94,96,97,97,0,0,Without residents,Ljubljana Bežigrad,11.0000,0.011
VI-327,SScv,OPN ID,70,Ø,High freestanding building,3063,65,78,85,88,9.79,133.84,100 to 300,Ljubljana Bežigrad,10.0000,0.01
TR-245,SSce,OPN ID,50,Ø,Low building in a row,1596,67,79,85,89,43.86,125.31,100 to 300,Ljubljana Bežigrad,15.0000,0.015
VI-340,SSsv,OPN ID,40,Ø,High freestanding building in the green,10746,72,82,88,90,13.96,78.17,60 to 100,Ljubljana Bežigrad,7.0000,0.007
TR-229,SSce,OPN ID,50,Ø,Low building in a row,1598,62,77,84,88,50.07,131.44,100 to 300,Ljubljana Bežigrad,20.0000,0.02
RD-253,CDo,OPN ID,/,25,Peculiar building,2366,59,75,83,86,0,0,Without residents,Ljubljana Bežigrad,12.0000,0.012
VI-655,CDj,OPN ID,/,20,High freestanding building,8102,91,94,95,96,1.23,1.23,Up to 10,Ljubljana Bežigrad,5.0000,0.005
TR-474,PC,OPN ID,,,,286,94,96,97,97,0,0,Without residents,Ljubljana Bežigrad,1.0000,0.001
VI-345,SScv,OPN ID,70,Ø,High freestanding building,6385,68,80,86,89,6.26,275.65,100 to 300,Ljubljana Bežigrad,11.0000,0.011
VI-531,SSce,OPN ID,50,Ø,Low building in a row,7656,61,76,83,87,28.73,80.98,60 to 100,Ljubljana Bežigrad,19.0000,0.019
RD-220,SSse,OPN ID,35,"residential buildings Ø, non-residential buildings 25",Low freestanding building,23131,68,80,86,89,16.86,60.96,60 to 100,Ljubljana Bežigrad,19.0000,0.019
VI-277,CU,OPN ID,/,"residential buildings Ø, non-residential buildings 20",High freestanding building,3979,70,81,87,90,2.51,5.03,Up to 10,Ljubljana Bežigrad,10.0000,0.01
RD-197,PC,OPN ID,,,,2404,96,97,97,97,0,0,Without residents,Ljubljana Bežigrad,6.0000,0.006
VI-357,PC,OPN ID,,,,6542,87,91,93,95,0,0,Without residents,Ljubljana Bežigrad,14.0000,0.014
VI-623,CDd,OPN ID,60,20,High freestanding building,2072,79,86,90,92,14.48,43.44,20 to 60,Ljubljana Bežigrad,10.0000,0.01
RD-262,ZPp,OPN ID,/,70,,31604,97,98,98,98,0,0,Without residents,Ljubljana Bežigrad,19.0000,0.019
VI-320,CDo,OPN ID,/,25,Peculiar building,1801,70,81,87,90,0,0,Without residents,Ljubljana Bežigrad,18.0000,0.018
RD-226,CDi,OPN ID,/,25,Peculiar building,23373,52,71,80,84,0.43,0.43,Up to 10,Ljubljana Bežigrad,10.0000,0.01
RD-319,SSse,OPN ID,35,"residential buildings Ø, non-residential buildings 25",Low freestanding building,97225,71,82,87,90,13.99,62.95,60 to 100,Ljubljana Bežigrad,10.0000,0.01
VI-296,VC,OPN ID,,,,674,99,99,99,99,0,0,Without residents,Ljubljana Bežigrad,19.0000,0.019
TR-233,SSsv,OPN ID,70,"residential buildings Ø, non-residential buildings 25",High freestanding building,4339,70,81,87,90,4.61,110.63,100 to 300,Ljubljana Bežigrad,15.0000,0.015
TR-234,SScv,OPN ID,70,Ø,High freestanding building,22552,64,78,85,88,9.31,169.38,100 to 300,Ljubljana Bežigrad,19.0000,0.019
TR-252,SSse,OPN ID,40,"residential buildings Ø, non-residential buildings 25",Low freestanding building,15709,63,77,84,88,10.82,40.11,20 to 60,Ljubljana Bežigrad,11.0000,0.011
VI-285,CDi,OPN ID,/,25,Peculiar building,11357,74,84,89,91,0,0,Without residents,Ljubljana Bežigrad,14.0000,0.014
VI-290,SSce,OPN ID,50,Ø,Low building in a row,1440,69,81,87,89,41.68,125.04,100 to 300,Ljubljana Bežigrad,9.0000,0.009
VI-647,CU,OPPN,50,"residential buildings Ø, non-residential buildings 20",High freestanding building,6435,69,80,86,89,6.22,57.5,20 to 60,Ljubljana Bežigrad,10.0000,0.01
TR-331,PC,OPN ID,,,,28626,74,83,88,91,0,0,Without residents,Ljubljana Bežigrad,18.0000,0.018
VI-351,PC,OPN ID,,,,2687,96,97,97,97,0,0,Without residents,Ljubljana Bežigrad,17.0000,0.017
TR-448,SSse,OPN ID,40,"residential buildings Ø, non-residential buildings 25",Low freestanding building,25174,70,81,87,90,12.71,54.82,20 to 60,Ljubljana Bežigrad,6.0000,0.006
TR-446,SSse,OPN ID,40,"residential buildings Ø, non-residential buildings 25",Low freestanding building,11444,77,85,90,92,14.86,97.87,60 to 100,Ljubljana Bežigrad,17.0000,0.017
TR-327,BC,OPPN,20,/,Large scale facility and technological building,42006,49,68,78,83,0.24,0.48,Up to 10,Ljubljana Bežigrad,14.0000,0.014
TR-328,ZPp,OPPN,/,70,,36902,41,63,75,81,0.27,1.35,Up to 10,Ljubljana Bežigrad,6.0000,0.006
TR-329,ZS,OPPN,/,20,,52520,46,67,77,83,0,0,Without residents,Ljubljana Bežigrad,6.0000,0.006
RD-478,PZ,OPN ID,,,,773,88,92,94,95,0,0,Without residents,Ljubljana Bežigrad,1.0000,0.001
RD-345,SSse,OPN ID,35,"residential buildings Ø, non-residential buildings 25",Low freestanding building,11219,67,79,86,89,14.26,61.5,60 to 100,Ljubljana Bežigrad,4.0000,0.004
RD-418,SSsv,OPN ID,30,Ø,High freestanding building in the green,93326,63,77,84,88,11.14,45.22,20 to 60,Ljubljana Bežigrad,14.0000,0.014
RD-325,SSse,OPN ID,35,"residential buildings Ø, non-residential buildings 25",Low freestanding building,32793,65,78,85,88,16.16,71.05,60 to 100,Ljubljana Bežigrad,6.0000,0.006
VI-672,VC,OPN ID,,,,2747,82,89,92,94,0,0,Without residents,Ljubljana Bežigrad,7.0000,0.007
