LAND_USE,UNIT,CURRENT_LAND_USE_CLASS,AREA
BC,TR-327,Street,2356
BC,TR-327,Courtyard,378
BC,TR-327,Forest,9784
BC,TR-327,Schrubs,1908
BC,TR-327,Field,8435
BC,TR-327,Park,6660
BC,TR-327,Path,690
BC,TR-327,Building,707
BC,TR-327,Grass,11085
BC,VI-415,Street,625
BC,VI-415,Courtyard,557
BC,VI-415,Schrubs,485
BC,VI-415,Facility,34
BC,VI-415,Park,2794
BC,VI-415,Path,23
BC,VI-415,Building,2514
BC,VI-415,Grass,5061
BC,VI-415,Water,1423
CDd,VI-128,Street,1261
CDd,VI-128,Courtyard,305
CDd,VI-128,Path,5
CDd,VI-128,Building,1567
CDd,VI-128,Grass,37
CDd,VI-331,Street,4
CDd,VI-331,Courtyard,37
CDd,VI-331,Building,317
CDd,VI-331,Grass,516
CDd,VI-623,Street,63
CDd,VI-623,Courtyard,907
CDd,VI-623,Field,1
CDd,VI-623,Facility,3
CDd,VI-623,Path,2
CDd,VI-623,Orchard,16
CDd,VI-623,Building,918
CDd,VI-623,Grass,162
CDd,VI-634,Street,23
CDd,VI-634,Courtyard,1229
CDd,VI-634,Path,9
CDd,VI-634,Building,1138
CDd,VI-634,Grass,60
CDi,RD-226,Street,2419
CDi,RD-226,Courtyard,1731
CDi,RD-226,Forest,486
CDi,RD-226,Field,0
CDi,RD-226,Path,447
CDi,RD-226,Building,3953
CDi,RD-226,Grass,14336
CDi,TR-447,Street,654
CDi,TR-447,Courtyard,668
CDi,TR-447,Field,1
CDi,TR-447,Path,3
CDi,TR-447,Orchard,10
CDi,TR-447,Building,2101
CDi,TR-447,Grass,1234
CDi,TR-527,Street,629
CDi,TR-527,Courtyard,2706
CDi,TR-527,Facility,7
CDi,TR-527,Park,663
CDi,TR-527,Path,415
CDi,TR-527,Building,2132
CDi,TR-527,Grass,13409
CDi,VI-285,Street,2756
CDi,VI-285,Courtyard,1862
CDi,VI-285,Schrubs,0
CDi,VI-285,Field,108
CDi,VI-285,Orchard,1
CDi,VI-285,Building,3523
CDi,VI-285,Grass,3108
CDi,VI-287,Street,356
CDi,VI-287,Courtyard,8813
CDi,VI-287,Schrubs,310
CDi,VI-287,Field,141
CDi,VI-287,Facility,25
CDi,VI-287,Park,3648
CDi,VI-287,Path,186
CDi,VI-287,Building,10805
CDi,VI-287,Grass,2557
CDi,VI-288,Street,1409
CDi,VI-288,Courtyard,1688
CDi,VI-288,Path,30
CDi,VI-288,Building,4044
CDi,VI-288,Grass,1230
CDi,VI-292,Street,145
CDi,VI-292,Courtyard,4101
CDi,VI-292,Path,0
CDi,VI-292,Orchard,2
CDi,VI-292,Building,2163
CDi,VI-292,Grass,1045
CDi,VI-316,Street,164
CDi,VI-316,Courtyard,1694
CDi,VI-316,Field,495
CDi,VI-316,Facility,24
CDi,VI-316,Path,28
CDi,VI-316,Orchard,925
CDi,VI-316,Building,1701
CDi,VI-316,Grass,2281
CDi,VI-332,Street,994
CDi,VI-332,Courtyard,1179
CDi,VI-332,Facility,0
CDi,VI-332,Path,63
CDi,VI-332,Building,3678
CDi,VI-332,Grass,748
CDi,VI-378,Street,3930
CDi,VI-378,Courtyard,7149
CDi,VI-378,Field,951
CDi,VI-378,Facility,118
CDi,VI-378,Path,225
CDi,VI-378,Orchard,1184
CDi,VI-378,Building,12691
CDi,VI-378,Grass,6918
CDi,VI-382,Street,685
CDi,VI-382,Courtyard,9303
CDi,VI-382,Schrubs,2162
CDi,VI-382,Field,3747
CDi,VI-382,Facility,4
CDi,VI-382,Path,112
CDi,VI-382,Orchard,646
CDi,VI-382,Building,4640
CDi,VI-382,Grass,6550
CDi,VI-461,Street,2575
CDi,VI-461,Courtyard,11
CDi,VI-461,Field,17
CDi,VI-461,Facility,1
CDi,VI-461,Path,471
CDi,VI-461,Orchard,12
CDi,VI-461,Building,2711
CDi,VI-461,Grass,1948
CDi,VI-461,Water,0
CDj,VI-655,Street,1512
CDj,VI-655,Courtyard,1276
CDj,VI-655,Facility,9
CDj,VI-655,Path,6
CDj,VI-655,Building,5042
CDj,VI-655,Grass,257
CDk,VI-310,Street,30
CDk,VI-310,Courtyard,1148
CDk,VI-310,Facility,15
CDk,VI-310,Building,961
CDk,VI-310,Grass,191
CDo,RD-253,Street,35
CDo,RD-253,Courtyard,376
CDo,RD-253,Facility,15
CDo,RD-253,Park,329
CDo,RD-253,Path,268
CDo,RD-253,Building,503
CDo,RD-253,Grass,841
CDo,TR-312,Street,254
CDo,TR-312,Courtyard,2150
CDo,TR-312,Schrubs,21
CDo,TR-312,Sink,9
CDo,TR-312,Field,1073
CDo,TR-312,Park,3472
CDo,TR-312,Path,98
CDo,TR-312,Orchard,419
CDo,TR-312,Building,4638
CDo,TR-312,Grass,3161
CDo,TR-330,Street,510
CDo,TR-330,Courtyard,3098
CDo,TR-330,Field,14
CDo,TR-330,Facility,59
CDo,TR-330,Park,2176
CDo,TR-330,Path,38
CDo,TR-330,Orchard,7
CDo,TR-330,Building,4521
CDo,TR-330,Grass,5614
CDo,VI-308,Street,62
CDo,VI-308,Courtyard,1599
CDo,VI-308,Field,493
CDo,VI-308,Park,1931
CDo,VI-308,Building,1130
CDo,VI-308,Grass,2029
CDo,VI-315,Street,355
CDo,VI-315,Courtyard,749
CDo,VI-315,Field,257
CDo,VI-315,Facility,10
CDo,VI-315,Path,49
CDo,VI-315,Building,1448
CDo,VI-315,Grass,3518
CDo,VI-320,Courtyard,857
CDo,VI-320,Path,13
CDo,VI-320,Building,564
CDo,VI-320,Grass,368
CDz,VI-329,Street,363
CDz,VI-329,Courtyard,1960
CDz,VI-329,Facility,83
CDz,VI-329,Park,389
CDz,VI-329,Building,1901
CDz,VI-329,Grass,3200
CDz,VI-358,Street,1280
CDz,VI-358,Courtyard,698
